"","waluta","cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Wersja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Uszkodzony","Typ","Liczba drzwi","Liczba miejsc","Kolor","Metalik","Zarejestrowany w Polsce","Stan","Per³owy","Kraj pochodzenia","Pierwsza rejestracja","Numer rejestracyjny pojazdu","Serwisowany w ASO","VAT mar¿a","Mo¿liwoœæ finansowania","Faktura VAT","Bezwypadkowy","Leasing","Tuning","Pierwszy w³aœciciel","Generacja","Akryl (niemetalizowany)","Emisja CO2","Filtr cz¹stek sta³ych","Zarejestrowany jako zabytek","Gwarancja dealerska (w cenie)","Matowy","lub do (przebieg km)","VIN","Miesiêczna rata","Okres gwarancji producenta","Homologacja ciê¿arowa","Warranty if agreed with the buyer"
"1:713","PLN","9 500","Osoby prywatnej","Osobowe","Audi","A6",NA,"2000","226 000 km","2 393 cm3","Benzyna","163 KM","Manualna",NA,NA,"Kombi","5","5","Czarny",NA,NA,"U¿ywane",NA,"Niemcy",NA,NA,NA,NA,"Tak",NA,"Tak",NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:714","PLN","6 500","Osoby prywatnej","Osobowe","Audi","A3","1.6 Ambition","2000","240 000 km","1 595 cm3","Benzyna+LPG","102 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Czarny",NA,"Tak","U¿ywane",NA,NA,"03/07/2000","LU211ES",NA,NA,NA,NA,"Tak",NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:715","PLN","8 700","Osoby prywatnej","Osobowe","Audi","A4","2.0","2000","221 679 km","1 984 cm3","Benzyna","130 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Srebrny","Tak","Tak","U¿ywane",NA,"Niemcy","28/04/2015","WPY19626",NA,NA,NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:716","PLN","3 900","Osoby prywatnej","Osobowe","Audi","A3",NA,"2000","350 000 km","1 900 cm3","Diesel","140 KM","Manualna",NA,NA,"Auta miejskie","5",NA,"Czerwony",NA,NA,"U¿ywane",NA,"Niemcy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:717","PLN","8 500","Osoby prywatnej","Osobowe","Audi","A3","1.6 Attraction","2001","190 000 km","1 595 cm3","Benzyna","102 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Srebrny","Tak",NA,"U¿ywane",NA,"Niemcy","19/09/2001",NA,"Tak","Tak",NA,NA,"Tak",NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:718","PLN","15 000","Osoby prywatnej","Osobowe","Audi","A4","Avant 2.5 TDI","2001","321 255 km","2 496 cm3","Diesel","155 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Czarny",NA,"Tak","U¿ywane","Tak","Niemcy","07/01/2002","WPR1508G",NA,NA,NA,NA,"Tak",NA,NA,NA,"B6 (2000-2004)",NA,"189 g/km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:719","PLN","8 700","Osoby prywatnej","Osobowe","Audi","A2","1.4","2001","225 172 km","1 390 cm3","Benzyna","75 KM","Manualna","Na przednie ko³a",NA,"Auta ma³e","5","5","Srebrny","Tak","Tak","U¿ywane",NA,"Niemcy","06/11/2001",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:720","PLN","12 000","Osoby prywatnej","Osobowe","Audi","A4","1.8T","2001","267 000 km","1 781 cm3","Benzyna","150 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Szary",NA,NA,"U¿ywane",NA,"Niemcy",NA,"HM-S768",NA,NA,NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:721","PLN","9 900","Osoby prywatnej","Osobowe","Audi","A6",NA,"2001","248 000 km","2 393 cm3","Benzyna","170 KM","Automatyczna","Na przednie ko³a",NA,"Kombi","5","5","Niebieski","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:722","PLN","13 500","Osoby prywatnej","Osobowe","Audi","A4",NA,"2001","250 000 km","1 896 cm3","Diesel","130 KM","Manualna",NA,NA,"Sedan","5","5","Inny kolor","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:723","PLN","7 000","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","297 000 km","1 896 cm3","Diesel","110 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Czarny","Tak","Tak","U¿ywane",NA,"Niemcy","27/04/2001","NO2851H",NA,NA,NA,NA,"Tak",NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:724","PLN","9 999","Osoby prywatnej","Osobowe","Audi","A4","2.0","2001","190 950 km","1 984 cm3","Benzyna","130 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Inny kolor","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:725","PLN","4 000","Osoby prywatnej","Osobowe","Audi","A6","2.0T FSI","2001","312 628 km","1 984 cm3","Benzyna","170 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Czarny",NA,"Tak","U¿ywane",NA,"Polska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:726","PLN","8 900","Osoby prywatnej","Osobowe","Audi","A2","1.4 TDI","2001","271 465 km","1 422 cm3","Diesel","75 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","5","5","Srebrny","Tak","Tak","U¿ywane",NA,NA,"17/10/2002","RZE3NJ3","Tak",NA,NA,NA,"Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:727","PLN","21 900","Osoby prywatnej","Osobowe","Audi","S6","4.2 Quattro Tiptronic","2001","339 000 km","4 172 cm3","Benzyna","340 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Kombi","4","5","Czarny","Tak","Tak","U¿ywane",NA,NA,"23/09/2001","CSW04746",NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:728","PLN","10 500","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","144 100 km","1 600 cm3","Benzyna","102 KM","Automatyczna","Na przednie ko³a",NA,"Auta miejskie","5","5","Srebrny","Tak",NA,"U¿ywane",NA,"Niemcy",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:729","PLN","9 200","Osoby prywatnej","Osobowe","Audi","A4",NA,"2001","240 000 km","1 984 cm3","Benzyna","130 KM","Manualna",NA,NA,"Sedan","5",NA,"Czarny",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:730","PLN","8 490","Firmy","Osobowe","Audi","A2","1.4","2001","146 000 km","1 390 cm3","Benzyna","75 KM","Manualna","Na przednie ko³a",NA,"Auta ma³e","5","4","Niebieski","Tak",NA,"U¿ywane",NA,"Niemcy","30/08/2001","MITH2892",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:731","PLN","16 000","Osoby prywatnej","Osobowe","Audi","A4","1.8T Quattro","2001","280 000 km","1 781 cm3","Benzyna","150 KM","Manualna","4x4 (sta³y)",NA,"Sedan","4","5","Srebrny",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:732","PLN","12 700","Osoby prywatnej","Osobowe","Audi","A4","Avant 1.9 TDI","2001","280 000 km","1 896 cm3","Diesel","130 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Czarny","Tak","Tak","U¿ywane",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,"Tak",NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:733","PLN","17 800","Osoby prywatnej","Osobowe","Audi","S3","1.8T Quattro","2001","325 000 km","1 781 cm3","Benzyna","210 KM","Manualna","4x4 (do³¹czany automatycznie)",NA,"Kompakt","3","5","Srebrny",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:734","PLN","9 700","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","177 000 km","1 900 cm3","Diesel","131 KM","Automatyczna","Na przednie ko³a",NA,"Kompakt","5","5","Niebieski","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:735","PLN","9 750","Osoby prywatnej","Osobowe","Audi","A4","2.5 TDI Quattro","2001","120 000 km","2 496 cm3","Diesel","180 KM","Manualna","4x4 (sta³y)",NA,"Kombi","4","5","Szary","Tak","Tak","U¿ywane",NA,"Francja","23/03/2001","WB8525V","Tak",NA,NA,NA,"Tak",NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:736","PLN","25 900","Osoby prywatnej","Osobowe","Audi","S8",NA,"2001","351 000 km","4 172 cm3","Benzyna+LPG","360 KM","Automatyczna","4x4 (sta³y)",NA,"Sedan","4","5","Srebrny","Tak","Tak","U¿ywane",NA,"W³ochy","02/01/2002","ZS186EU",NA,NA,NA,NA,"Tak",NA,NA,NA,"D2 (1994-2002)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:737","PLN","30 000","Osoby prywatnej","Osobowe","Audi","S4","Avant 2.7 Quattro","2001","274 500 km","2 671 cm3","Benzyna","265 KM","Manualna","4x4 (sta³y)",NA,"Kombi","5","5","Srebrny","Tak","Tak","U¿ywane",NA,"Szwajcaria","21/05/2007","GD3466U",NA,NA,NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:738","PLN","14 000","Osoby prywatnej","Osobowe","Audi","TT","Coupe 1.8T","2001","221 894 km","1 781 cm3","Benzyna+LPG","180 KM","Manualna","Na przednie ko³a",NA,"Coupe","2","4","Srebrny",NA,NA,"U¿ywane",NA,NA,"28/12/2001","NOL83697",NA,NA,NA,NA,"Tak",NA,NA,NA,"8N (1998-2006)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:739","PLN","9 500","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","275 809 km","1 896 cm3","Diesel","130 KM","Manualna","Na przednie ko³a",NA,"Kompakt","3","5","Czarny",NA,"Tak","U¿ywane",NA,"Polska","02/03/2017","CNARU17",NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:740","PLN","3 200","Osoby prywatnej","Osobowe","Audi","A4","Avant 1.9 TDI","2001","277 862 km","1 896 cm3","Diesel","115 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Inny kolor",NA,NA,"U¿ywane",NA,NA,"25/06/2001","SO7844F",NA,NA,NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:741","PLN","11 900","Osoby prywatnej","Osobowe","Audi","A4",NA,"2001","204 541 km","1 984 cm3","Benzyna","130 KM","Manualna","Na przednie ko³a",NA,"Sedan","5","5","Srebrny","Tak","Tak","U¿ywane",NA,NA,"10/05/2001","EL9J082","Tak",NA,NA,NA,"Tak",NA,NA,"Tak","B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:742","PLN","9 000","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","264 500 km","1 896 cm3","Diesel","130 KM","Manualna","Na przednie ko³a",NA,"Kompakt","3","5","Srebrny","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:743","PLN","4 500","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","262 000 km","1 896 cm3","Diesel","110 KM","Manualna",NA,NA,"Kompakt","3","5","Fioletowy",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:744","PLN","8 600","Osoby prywatnej","Osobowe","Audi","A4","1.9 TDI","2001","316 000 km","1 896 cm3","Diesel","130 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Srebrny",NA,NA,"U¿ywane",NA,NA,"05/06/2001","RLE45395",NA,NA,NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:745","PLN","19 900","Osoby prywatnej","Osobowe","Audi","TT","Coupe 1.8T","2001","201 652 km","1 781 cm3","Benzyna","180 KM","Manualna",NA,NA,"Kabriolet","2",NA,"Czarny","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,"8N (1998-2006)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:746","PLN","7 800","Osoby prywatnej","Osobowe","Audi","A4","Avant 2.0","2001","233 000 km","1 984 cm3","Benzyna","130 KM","Manualna","Na przednie ko³a",NA,"Sedan","5","5","Inny kolor",NA,NA,"U¿ywane",NA,"Polska","29/05/2001","ZSL38477",NA,NA,NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:747","PLN","3 500","Firmy","Osobowe","Audi","A6",NA,"2001","230 000 km","2 976 cm3","Benzyna","220 KM","Automatyczna",NA,"Tak","Kombi","4",NA,"Czarny",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:748","PLN","24 900","Firmy","Osobowe","Audi","S3","1.8T Quattro","2001","245 000 km","1 781 cm3","Benzyna","210 KM","Manualna","4x4 (sta³y)",NA,"Kompakt","3","5","Niebieski","Tak",NA,"U¿ywane",NA,"Szwajcaria",NA,NA,"Tak",NA,NA,"Tak",NA,NA,NA,"Tak","8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:749","PLN","11 400","Osoby prywatnej","Osobowe","Audi","A4","1.8T Multitronic","2001","223 124 km","1 781 cm3","Benzyna","150 KM","Automatyczna","Na przednie ko³a",NA,"Kombi","4","5","Czarny",NA,"Tak","U¿ywane",NA,NA,"31/07/2001",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:750","PLN","8 700","Osoby prywatnej","Osobowe","Audi","A2","1.4","2001","157 000 km","1 390 cm3","Benzyna","75 KM","Manualna",NA,NA,"Auta ma³e","5",NA,"Niebieski","Tak","Tak","U¿ywane",NA,NA,"04/04/2001",NA,"Tak",NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:751","PLN","5 800","Osoby prywatnej","Osobowe","Audi","A4","2.0","2001","251 800 km","1 984 cm3","Benzyna","130 KM","Manualna","Na przednie ko³a","Tak","Sedan","4","5","Czarny","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:752","PLN","5 999","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","297 716 km","1 595 cm3","Benzyna+LPG","102 KM","Manualna","Na przednie ko³a",NA,"Kompakt","3","5","Srebrny","Tak",NA,"U¿ywane",NA,"Niemcy","22/06/2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:753","PLN","9 900","Firmy","Osobowe","Audi","A6",NA,"2001","273 000 km","2 976 cm3","Benzyna","220 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Inny kolor","Tak","Tak","U¿ywane",NA,NA,"05/09/2001","DST17839",NA,"Tak","Tak",NA,NA,NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:754","PLN","10 900","Osoby prywatnej","Osobowe","Audi","A4","2.0","2001","245 000 km","1 984 cm3","Benzyna","130 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Srebrny","Tak",NA,"U¿ywane",NA,"Niemcy",NA,NA,"Tak",NA,NA,NA,"Tak",NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:755","PLN","9 900","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","214 000 km","1 595 cm3","Benzyna","102 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","5","5","Czarny","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:756","PLN","3 999","Osoby prywatnej","Osobowe","Audi","A4","1.9 TDI","2001","320 000 km","1 896 cm3","Diesel","130 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Inny kolor",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:757","PLN","7 850","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","260 000 km","1 600 cm3","Benzyna","102 KM","Manualna","Na przednie ko³a",NA,"Kompakt","3","5","Niebieski","Tak",NA,"U¿ywane",NA,"Niemcy","01/09/2001",NA,"Tak","Tak",NA,NA,"Tak",NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:758","PLN","11 900","Firmy","Osobowe","Audi","A4","2.0 Multitronic","2001","203 000 km","1 984 cm3","Benzyna","130 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Niebieski","Tak",NA,"U¿ywane",NA,"Niemcy",NA,NA,"Tak","Tak",NA,NA,"Tak",NA,NA,"Tak","B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:759","PLN","9 900","Osoby prywatnej","Osobowe","Audi","A4","Avant 2.0","2001","220 000 km","1 984 cm3","Benzyna","130 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Czarny","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:760","PLN","7 800","Firmy","Osobowe","Audi","A4","Avant 1.8T","2001","220 000 km","1 781 cm3","Benzyna","150 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Szary",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:761","PLN","7 900","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","173 200 km","1 600 cm3","Benzyna","102 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Srebrny","Tak",NA,"U¿ywane",NA,"Niemcy",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:762","PLN","7 400","Osoby prywatnej","Osobowe","Audi","A4","1.9 TDI","2001","408 000 km","1 896 cm3","Diesel","130 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Srebrny",NA,NA,"U¿ywane",NA,NA,"13/02/2001","WMLKR36",NA,NA,NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:763","PLN","6 900","Firmy","Osobowe","Audi","A4","1.9 TDI","2001","352 300 km","1 896 cm3","Diesel","130 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Czarny","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:764","PLN","7 200","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","232 198 km","1 595 cm3","Benzyna","102 KM","Manualna",NA,NA,"Sedan","5","5","Niebieski",NA,"Tak","U¿ywane",NA,"Polska","16/05/2002","KOL01085",NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:765","PLN","13 300","Firmy","Osobowe","Audi","A4","1.8T","2001","193 064 km","1 781 cm3","Benzyna","150 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Srebrny","Tak",NA,"U¿ywane",NA,NA,"05/05/2001",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,"6 miesiêcy",NA,NA,NA,NA,NA,NA,NA
"1:766","PLN","6 500","Osoby prywatnej","Osobowe","Audi","A4","Avant 1.9 TDI","2001","300 000 km","1 896 cm3","Diesel","130 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Srebrny",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B5 (1995-2001)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:767","PLN","8 500","Osoby prywatnej","Osobowe","Audi","A3","1.6 Ambiente","2001","193 000 km","1 595 cm3","Benzyna","102 KM","Manualna","Na przednie ko³a",NA,"Kompakt","3","5","Niebieski",NA,NA,"U¿ywane",NA,"Niemcy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:768","PLN","9 900","Firmy","Osobowe","Audi","A3",NA,"2001","187 000 km","1 600 cm3","Benzyna","102 KM","Manualna",NA,NA,"Auta miejskie","5",NA,"Srebrny",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:769","PLN","10 900","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","223 568 km","1 896 cm3","Diesel","130 KM","Manualna","4x4 (sta³y)",NA,"Auta miejskie","5","5","Srebrny","Tak","Tak","U¿ywane",NA,"Niemcy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:770","PLN","10 800","Firmy","Osobowe","Audi","A4","2.0","2001","199 000 km","1 984 cm3","Benzyna","130 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Srebrny","Tak",NA,"U¿ywane",NA,"Niemcy",NA,NA,"Tak","Tak",NA,NA,"Tak",NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:771","PLN","6 000","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","290 000 km","1 896 cm3","Diesel","130 KM","Manualna",NA,NA,"Kompakt","3","5","Niebieski",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:772","PLN","8 900","Osoby prywatnej","Osobowe","Audi","A2",NA,"2001","156 000 km","1 396 cm3","Benzyna","90 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","5","4","Niebieski","Tak",NA,"U¿ywane",NA,"Niemcy",NA,NA,NA,"Tak","Tak",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:773","PLN","10 600","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","171 000 km","1 781 cm3","Benzyna","125 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Srebrny","Tak",NA,"U¿ywane",NA,"Niemcy",NA,NA,NA,"Tak",NA,NA,"Tak",NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:774","PLN","8 000","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","297 000 km","1 781 cm3","Benzyna+LPG","125 KM","Manualna","Na przednie ko³a",NA,"Kompakt","5","5","Srebrny",NA,NA,"U¿ywane",NA,NA,"05/07/2001","KCHJY77",NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:775","PLN","8 000","Osoby prywatnej","Osobowe","Audi","A3",NA,"2001","191 668 km","1 595 cm3","Benzyna","102 KM","Manualna",NA,NA,"Auta miejskie","3",NA,"Czarny",NA,NA,"U¿ywane",NA,NA,"22/10/2001","DSW67978",NA,NA,NA,NA,NA,NA,NA,NA,"8L (1996-2003)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:776","PLN","10 500","Osoby prywatnej","Osobowe","Audi","A4","2.0","2001","263 112 km","1 984 cm3","Benzyna+LPG","130 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Czarny",NA,"Tak","U¿ywane",NA,NA,"28/12/2001","ELE1W97",NA,NA,NA,NA,NA,NA,NA,NA,"B6 (2000-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:777","PLN","10 500","Osoby prywatnej","Osobowe","Audi","A6",NA,"2001","270 500 km","1 781 cm3","Benzyna+LPG","150 KM","Manualna","Na przednie ko³a",NA,"Kombi","5","5","Bordowy","Tak","Tak","U¿ywane",NA,"Niemcy",NA,"CB9191U",NA,NA,NA,NA,"Tak",NA,NA,NA,"C5 (1997-2004)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
